Student,Assignment,Activity,Scoring Guide,Nancy Stephenson Score,Angela Ross Score,Active Score
747,990,PSM_Pretest_2020_B,Pop.04.1_OE,,,MAPc2
751,994,PSM_Pretest_2020_E(c),Pop.04.1_OE,,,MAPc1
753,996,PSM_Pretest_2020_C,Pop.04.1_OE,,,MAPc0
802,1049,PSM_Pretest_2020_C,Pop.04.1_OE,,,MAPc1
824,1072,PSM_Pretest_2020_D(c),Pop.04.1_OE,,,MAPc2
846,1094,PSM_Pretest_2020_F,Pop.04.1_OE,,,MAPc3
850,1098,PSM_Pretest_2020_C,Pop.04.1_OE,,,MAPc1
892,1141,PSM_Pretest_2020_A(c),Pop.04.1_OE,,,MAPc2
960,1216,PSM_Pretest_2020_E(c),Pop.04.1_OE,,,MAPc1
1099,1366,PSM_Pretest_2020_B,Pop.04.1_OE,,,MAPc1
1116,1383,PSM_Pretest_2020_C,Pop.04.1_OE,,,MAPc2
1130,1391,PSM_Pretest_2020_E(c),Pop.04.1_OE,,,MAPc1
1174,1438,PSM_Pretest_2020_F,Pop.04.1_OE,,,MAPc0
1209,1530,PSM_Pretest_2020_D(c),Pop.04.1_OE,,,MAPc1
1214,1535,PSM_Pretest_2020_A(c),Pop.04.1_OE,,,MAPc3
1230,1553,PSM_Pretest_2020_A(c),Pop.04.1_OE,,,MAPc2
1282,1609,PSM_Pretest_2020_F,Pop.04.1_OE,,,MAPc1
1231,1617,PSM_Pretest_2020_B,Pop.04.1_OE,,,MAPc0
1293,1623,PSM_Pretest_2020_D(c),Pop.04.1_OE,,,MAPc2
1300,1631,PSM_Pretest_2020_E(c),Pop.04.1_OE,,,MAPc1
1372,1704,PSM_Pretest_2020_F,Pop.04.1_OE,,,MAPc1
505,1787,PSM_Pretest_2020_D(c),Pop.04.1_OE,,,MAPc1
1454,1795,PSM_Pretest_2020_E(c),Pop.04.1_OE,,,MAPc2
1554,1908,PSM_Pretest_2020_A(c),Pop.04.1_OE,,,MAPc0
1893,2292,PSM_Pretest_2020_E(c),Pop.04.1_OE,,,MAPc0
75,261,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc2,MAPc2
76,262,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc2,
77,263,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc2,MAPc1
78,264,PSM_Pretest_2020_F,Pop.04.2_OE,,MAPc2,
79,265,PSM_Pretest_2020_E(c),Pop.04.2_OE,,MAPc3,
80,266,PSM_Pretest_2020_D(c),Pop.04.2_OE,,MAPc3,
81,267,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc3,
82,268,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc2,MAPc1
83,269,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc3,
84,270,PSM_Pretest_2020_F,Pop.04.2_OE,,MAPc3,
85,271,PSM_Pretest_2020_E(c),Pop.04.2_OE,,MAPc3,
89,275,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc3,
90,276,PSM_Pretest_2020_F,Pop.04.2_OE,,MAPc2,
92,278,PSM_Pretest_2020_D(c),Pop.04.2_OE,,MAPc3,
93,279,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc3,
94,280,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc3,
95,281,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc3,
97,283,PSM_Pretest_2020_E(c),Pop.04.2_OE,,MAPc3,
99,285,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc2,
100,286,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc2,
101,287,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc3,
102,288,PSM_Pretest_2020_F,Pop.04.2_OE,,,MAPc0
104,290,PSM_Pretest_2020_D(c),Pop.04.2_OE,,MAPc1,
106,292,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc2,
108,294,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc0,
109,295,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc2,MAPc1
111,297,PSM_Pretest_2020_E(c),Pop.04.2_OE,,MAPc2,
112,298,PSM_Pretest_2020_D(c),Pop.04.2_OE,,MAPc3,
